Province,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Candidate/Candidat,Party,Candidate Residence/Résidence du candidat,Candidate Occupation/Profession du candidat,Votes Obtained/Votes obtenus,Percentage of Votes Obtained /Pourcentage des votes obtenus,Majority/Majorité,Majority Percentage/Pourcentage de majorité,Winner
Ontario,Guelph,35032,Gloria Kovach Conservative/Conservateur,Conservative,"Guelph, Ont.",Nurse/Infirmière,18407,26.3,,,Liberal
Ontario,Guelph,35032,Andrew Seagram NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Guelph, Ont.",School Board Administrator/Administrateur de conseil scolaire,8392,12,,,Liberal
Ontario,Guelph,35032,Gord Miller Green Party/Parti Vert,Green,"North Bay, Ont.",Consultant/Consultant,7909,11.3,,,Liberal
Ontario,Guelph,35032,Alexander Fekri Libertarian/Libertarien,,"Guelph, Ont.",Student/Etudiant,520,.7,,,Liberal
Ontario,Guelph,35032,Kornelis Klevering Radical Marijuana/Radical Marijuana,,"Guelph, Ont.",Groundskeeper/Intendant de terrain de golf,193,.3,,,Liberal
Ontario,Guelph,35032,Tristan Dineen Communist/Communiste,,"Guelph, Ont.","University of Guelph Student Association CEO/Directeur, Association des étudiants",144,.2,,,Liberal
Ontario,Haldimand--Norfolk,35033,Diane Finley ** Conservative/Conservateur,Conservative,"Simcoe, Ont.",Parliamentarian/Parlementaire,24714,44.1,4227,7.5,Conservative
Ontario,Haldimand--Norfolk,35033,Joan Mouland Liberal/Libéral,Liberal,"Waterford, Ont.",Lawyer/Avocate,20487,36.6,,,Conservative
Ontario,Haldimand--Norfolk,35033,John Harris NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Simcoe, Ont.",IT Technician/Technicien en technologie de l'information,7625,13.6,,,Conservative
Ontario,Haldimand--Norfolk,35033,Wayne Ettinger Green Party/Parti Vert,Green,"Dunnville, Ont.",Businessman/Hommes d'affaires,1857,3.3,,,Conservative
Ontario,Haldimand--Norfolk,35033,Dave Bylsma Christian Heritage Party/Parti de l'Héritage Chrétien,,"St. Anns, Ont.",Woodworking/Travailleur du bois,884,1.6,,,Conservative
Ontario,Haldimand--Norfolk,35033,Dustin Wakeford Independent/Indépendant,,"Simcoe, Ont.",Self-Employed/Travailleur indépendant,272,.5,,,Conservative
Ontario,Haldimand--Norfolk,35033,Leslie Bory Independent/Indépendant,,"Dunnville, Ont.",Machinist/Machiniste,151,.3,,,Conservative
Ontario,Haliburton--Kawartha Lakes--Brock,35034,Jamie Schmale Conservative/Conservateur,Conservative,"Lindsay, Ont.",Political Staff/Journalist/Personnel politique/Journaliste,27718,44.8,8084,13.1,Conservative
Ontario,Haliburton--Kawartha Lakes--Brock,35034,David Marquis Liberal/Libéral,Liberal,"Sunderland, Ont.",Self-employed/Travailleur indépendant,19634,31.8,,,Conservative
Ontario,Haliburton--Kawartha Lakes--Brock,35034,Mike Perry NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Little Britain, Ont.","Lawyer, Social Worker/Avocat, Intervenant social",12012,19.4,,,Conservative
Ontario,Haliburton--Kawartha Lakes--Brock,35034,Bill MacCallum Green Party/Parti Vert,Green,"Omemee, Ont.",Teacher/Enseignant,2470,4,,,Conservative
Ontario,Hamilton Centre/Hamilton-Centre,35035,David Christopherson ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Hamilton, Ont.",Parliamentarian/Parlementaire,18719,45.6,5001,12.2,NDP
Ontario,Hamilton Centre/Hamilton-Centre,35035,Anne Tennier Liberal/Libéral,Liberal,"Hamilton, Ont.",Engineer/Ingénieure,13718,33.4,,,NDP
Ontario,Hamilton Centre/Hamilton-Centre,35035,Yonatan Rozenszajn Conservative/Conservateur,Conservative,"Hamilton, Ont.",Lawyer/Avocat,6018,14.6,,,NDP
Ontario,Hamilton Centre/Hamilton-Centre,35035,Ute Schmid-Jones Green Party/Parti Vert,Green,"Hamilton, Ont.",Communication Specialist/Spécialiste en communications,1778,4.3,,,NDP
Ontario,Hamilton Centre/Hamilton-Centre,35035,Michael James Baldasaro Radical Marijuana/Radical Marijuana,,"Hamilton, Ont.",Minister/Ministre,348,.8,,,NDP
Ontario,Hamilton Centre/Hamilton-Centre,35035,Rob Young Libertarian/Libertarien,,"Hamilton, Ont.",CEO/PDG,316,.8,,,NDP
Ontario,Hamilton Centre/Hamilton-Centre,35035,Maria Anastasiou Independent/Indépendant,,"Hamilton, Ont.",Early Childhood Educator/Éducatrice de la petite enfance,186,.5,,,NDP
Ontario,Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,35036,Bob Bratina Liberal/Libéral,Liberal,"Hamilton, Ont.",Broadcaster/Radiodiffuseur,19622,39,3157,6.3,Liberal
Ontario,Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,35036,Wayne Marston ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Hamilton, Ont.",Parliamentarian/Parlementaire,16465,32.7,,,Liberal
Ontario,Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,35036,Diane Bubanko Conservative/Conservateur,Conservative,"Hamilton, Ont.",Entrepreneur/Entrepreneur,12715,25.3,,,Liberal
Ontario,Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,35036,Erin Davis Green Party/Parti Vert,Green,"Ancaster, Ont.",Financial Advisor/Conseillère financière,1305,2.6,,,Liberal
Ontario,Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,35036,Bob Mann Communist/Communiste,,"Hamilton, Ont.",Retired Steelworker/Métallo à la retraite,170,.3,,,Liberal
Ontario,Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,35036,Wendell Fields Marxist-Leninist/Marxiste-Léniniste,,"Hamilton, Ont.",Unemployed/Sans emploi,55,.1,,,Liberal
Ontario,Hamilton Mountain,35037,Scott Duvall NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Hamilton, Ont.",City Councillor/Conseiller municipal,18146,35.9,1213,2.4,NDP
Ontario,Hamilton Mountain,35037,Shaun Burt Liberal/Libéral,Liberal,"Hamilton, Ont.",Teacher/Enseignant,16933,33.5,,,NDP
Ontario,Hamilton Mountain,35037,Al Miles Conservative/Conservateur,Conservative,"Stoney Creek, Ont.",Youth Worker/Travailleur auprès des jeunes,12991,25.7,,,NDP
Ontario,Hamilton Mountain,35037,Raheem Aman Green Party/Parti Vert,Green,"Hamilton, Ont.",Student/Étudiant,1283,2.5,,,NDP
Ontario,Hamilton Mountain,35037,Andrew James Caton Libertarian/Libertarien,,"Hamilton, Ont.",Realtor/Courtier en immeubles,763,1.5,,,NDP
Ontario,Hamilton Mountain,35037,Jim Enos Christian Heritage Party/Parti de l'Héritage Chrétien,,"Ancaster, Ont.",Civil Engineering Technologist/Technicien en génie civil,438,.9,,,NDP
Ontario,Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas,35038,Filomena Tassi Liberal/Libéral,Liberal,"Hamilton, Ont.",Chaplain/Aumônière,29694,47.7,9873,15.9,Liberal
Ontario,Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas,35038,Vincent Samuel Conservative/Conservateur,Conservative,"Hamilton, Ont.",Director of Clinical Services / retired/Directeur des services cliniques / retraité,19821,31.8,,,Liberal
Ontario,Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas,35038,Alex Johnstone NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Ancaster, Ont.",Public School Board Trustee/Conseillère scolaire publique,10131,16.3,,,Liberal
Ontario,Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas,35038,Peter Ormond Green Party/Parti Vert,Green,"Hamilton, Ont.",Engineer/Ingénieur,2633,4.2,,,Liberal
Ontario,Hastings--Lennox and Addington,35039,Mike Bossio Liberal/Libéral,Liberal,"Marysville, Ont.",Recruiter/Recruteur,21104,42.4,225,0.5,Liberal
Ontario,Hastings--Lennox and Addington,35039,Daryl Kramp ** Conservative/Conservateur,Conservative,"Madoc, Ont.",Parliamentarian/Parlementaire,20879,41.9,,,Liberal
Ontario,Hastings--Lennox and Addington,35039,Betty Bannon NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Foxboro, Ont.",Retired/Retraitée,6348,12.7,,,Liberal
Ontario,Hastings--Lennox and Addington,35039,Cam Mather Green Party/Parti Vert,Green,"Tamworth, Ont.",Farmer/Fermier,1466,2.9,,,Liberal
Ontario,Humber River--Black Creek,35121,Judy Sgro ** Liberal/Libéral,Liberal,"Thornhill, Ont.",Parliamentarian/Parlementaire,23995,66.9,16767,46.8,Liberal
Ontario,Humber River--Black Creek,35121,Kerry Vandenberg Conservative/Conservateur,Conservative,"Toronto, Ont.",Canadian Armed Forces Officer/Officier des Forces armées canadiennes,7228,20.2,,,Liberal
Ontario,Humber River--Black Creek,35121,Darnel Harris NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Toronto, Ont.",Student/Étudiant,3851,10.7,,,Liberal
Ontario,Humber River--Black Creek,35121,Keith Jarrett Green Party/Parti Vert,Green,"Toronto, Ont.",Student/Étudiant,584,1.6,,,Liberal
Ontario,Humber River--Black Creek,35121,Christine Nugent Marxist-Leninist/Marxiste-Léniniste,,"Elmvale, Ont.",College Instructor/Formateur au niveau collégial,201,.6,,,Liberal
Ontario,Huron--Bruce,35040,Ben Lobb ** Conservative/Conservateur,Conservative,"Clinton, Ont.",Parliamentarian/Parlementaire,26174,44.9,3045,5.2,Conservative
Ontario,Huron--Bruce,35040,Allan Thompson Liberal/Libéral,Liberal,"Ottawa, Ont.",University Professor/Professeur d'université,23129,39.7,,,Conservative
Ontario,Huron--Bruce,35040,Gerard Creces NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Seaforth, Ont.",Journalist/Journaliste,7544,13,,,Conservative
Ontario,Huron--Bruce,35040,Jutta Splettstoesser Green Party/Parti Vert,Green,"Kincardine, Ont.",Farm Business Manager/Gestionnaire d'entreprise agricole,1398,2.4,,,Conservative
Ontario,Kanata--Carleton,35041,Karen McCrimmon Liberal/Libéral,Liberal,"Ottawa, Ont.",Mediator/Médiatrice,32477,51.3,7648,12.1,Liberal
Ontario,Kanata--Carleton,35041,Walter Pamic Conservative/Conservateur,Conservative,"Ottawa, Ont.",Business Owner/Propriétaire d'entreprise,24829,39.2,,,Liberal
Ontario,Kanata--Carleton,35041,John Hansen NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Kanata, Ont.","Retired Electrical Engineer/Ingénieur électricien, retraité",4313,6.8,,,Liberal
Ontario,Kanata--Carleton,35041,Andrew West Green Party/Parti Vert,Green,"Ottawa, Ont.",Law school graduate/Diplômé de l'école de droit,1704,2.7,,,Liberal
Ontario,Kenora,35042,Bob Nault Liberal/Libéral,Liberal,"Keewatin, Ont.",Consultant/Consultant,10918,35.5,498,1.6,Liberal
Ontario,Kenora,35042,Howard Hampton NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Fort Frances, Ont.",Lawyer / Teacher/Avocat / Enseignant,10420,33.9,,,Liberal
Ontario,Kenora,35042,Greg Rickford ** Conservative/Conservateur,Conservative,"Keewatin, Ont.",Parliamentarian/Parlementaire,8751,28.5,,,Liberal
Ontario,Kenora,35042,Ember C. McKillop Green Party/Parti Vert,Green,"Dryden, Ont.",Teacher/Enseignante,501,1.6,,,Liberal
Ontario,Kenora,35042,Kelvin Boucher-Chicago Independent/Indépendant,,"Kenora, Ont.",Carpenter/Menuisier,162,.5,,,Liberal
Ontario,King--Vaughan,35043,Deb Schulte Liberal/Libéral,Liberal,"Woodbridge, Ont.",Politician/Politicienne,25908,47.4,1738,3.2,Liberal
Ontario,King--Vaughan,35043,Konstantin Toubis Conservative/Conservateur,Conservative,"Vaughan, Ont.",Real Estate Broker/Courtier en immeubles,24170,44.2,,,Liberal
Ontario,King--Vaughan,35043,Natalie Rizzo NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Vaughan, Ont.",Intake Worker/Travailleuse chargée de l'accueil,3571,6.5,,,Liberal
Ontario,King--Vaughan,35043,Ann Raney Green Party/Parti Vert,Green,"King City, Ont.",Engineer/Ingénieure,1037,1.9,,,Liberal
Ontario,Kingston and the Islands/Kingston et les Îles,35044,Mark Gerretsen Liberal/Libéral,Liberal,"Kingston, Ont.",Self Employed - Property Management/Travailleur indépendant - Gestion immobilier,36421,55.4,21493,32.7,Liberal
Ontario,Kingston and the Islands/Kingston et les Îles,35044,Andy Brooke Conservative/Conservateur,Conservative,"Kingston, Ont.",Retired/Retraité,14928,22.7,,,Liberal
Ontario,Kingston and the Islands/Kingston et les Îles,35044,Daniel Beals ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Kingston, Ont.",Student/Étudiant,11185,17,,,Liberal
Ontario,Kingston and the Islands/Kingston et les Îles,35044,Nathan Townend Green Party/Parti Vert,Green,"Kingston, Ont.",Farmer/Agriculteur,2933,4.5,,,Liberal
Ontario,Kingston and the Islands/Kingston et les Îles,35044,Luke McAllister Libertarian/Libertarien,,"Kingston, Ont.",Student/Étudiant,305,.5,,,Liberal
Ontario,Kitchener Centre/Kitchener-Centre,35045,Raj Saini Liberal/Libéral,Liberal,"Kitchener, Ont.",Pharmacist/Pharmacien,25504,48.8,9632,18.4,Liberal
Ontario,Kitchener Centre/Kitchener-Centre,35045,Stephen Woodworth ** Conservative/Conservateur,Conservative,"Kitchener, Ont.",Parliamentarian/Parlementaire,15872,30.4,,,Liberal
Ontario,Kitchener Centre/Kitchener-Centre,35045,Susan Cadell NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Kitchener, Ont.",Professor/Professeure,8680,16.6,,,Liberal
Ontario,Kitchener Centre/Kitchener-Centre,35045,Nicholas Wendler Green Party/Parti Vert,Green,"Kitchener, Ont.",Philanthropist/Philanthrope,1597,3.1,,,Liberal
Ontario,Kitchener Centre/Kitchener-Centre,35045,Slavko Miladinovic Libertarian/Libertarien,,"Kitchener, Ont.",Disabled/Handicapé,515,1,,,Liberal
Ontario,Kitchener Centre/Kitchener-Centre,35045,Julian Ichim Marxist-Leninist/Marxiste-Léniniste,,"Kitchener, Ont.",Journalist / Freelance Writer/Journaliste / Rédacteur pigiste,112,.2,,,Liberal
Ontario,Kitchener South--Hespeler/Kitchener-Sud--Hespeler,35047,Marwan Tabbara Liberal/Libéral,Liberal,"Kitchener, Ont.",Field Supervisor/Surveillant sur le terrain,20215,42.3,2671,5.6,Liberal
Ontario,Kitchener South--Hespeler/Kitchener-Sud--Hespeler,35047,Marian Gagné Conservative/Conservateur,Conservative,"Kitchener, Ont.",Self Employed/Travailleuse indépendente,17544,36.7,,,Liberal
Ontario,Kitchener South--Hespeler/Kitchener-Sud--Hespeler,35047,Lorne Bruce NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Cambridge, Ont.",Retail Clerk/Commis Vendeur,7440,15.6,,,Liberal
Ontario,Kitchener South--Hespeler/Kitchener-Sud--Hespeler,35047,David Weber Green Party/Parti Vert,Green,"Kitchener, Ont.",Police Officer/Policier,1767,3.7,,,Liberal
Ontario,Kitchener South--Hespeler/Kitchener-Sud--Hespeler,35047,Nathan Lajeunesse Libertarian/Libertarien,,"Cambridge, Ont.",Iron Worker/Métallier,772,1.6,,,Liberal
Ontario,Kitchener South--Hespeler/Kitchener-Sud--Hespeler,35047,Elaine Baetz Marxist-Leninist/Marxiste-Léniniste,,"Etobicoke, Ont.",Office worker/Employée de bureau,91,.2,,,Liberal
Ontario,Kitchener--Conestoga,35046,Harold Albrecht ** Conservative/Conservateur,Conservative,"Kitchener, Ont.",Parliamentarian/Parlementaire,20649,43.3,251,0.5,Conservative
Ontario,Kitchener--Conestoga,35046,Tim Louis Liberal/Libéral,Liberal,"Kitchener, Ont.",Musician/Musicien,20398,42.8,,,Conservative
Ontario,Kitchener--Conestoga,35046,James Villeneuve NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Kitchener, Ont.",Sheet Metal Worker/Travailleur du métal en feuille,4653,9.8,,,Conservative
Ontario,Kitchener--Conestoga,35046,Bob Jonkman Green Party/Parti Vert,Green,"Elmira, Ont.",IT Consultant/Consultant en TI,1314,2.8,,,Conservative
Ontario,Kitchener--Conestoga,35046,Richard Hodgson Libertarian/Libertarien,,"Elmira, Ont.",Business Owner/Propriétaire d'entreprise,685,1.4,,,Conservative
Ontario,Lambton--Kent--Middlesex,35048,Bev Shipley ** Conservative/Conservateur,Conservative,"Denfield, Ont.",Retired Farmer/Fermier retraité,28300,50.2,11708,20.8,Conservative
Ontario,Lambton--Kent--Middlesex,35048,Ken Filson Liberal/Libéral,Liberal,"Denfield, Ont.",Lender/Prêteur,16592,29.4,,,Conservative
Ontario,Lambton--Kent--Middlesex,35048,Rex Isaac NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Walpole Island, Ont.",Steamfitter/Monteur de conduites de vapeur,9598,17,,,Conservative
Ontario,Lambton--Kent--Middlesex,35048,Jim Johnston Green Party/Parti Vert,Green,"Ilderton, Ont.",Professor/Professeur,1873,3.3,,,Conservative
Ontario,Lanark--Frontenac--Kingston,35049,Scott Reid ** Conservative/Conservateur,Conservative,"Perth, Ont.",Parliamentarian/Parlementaire,27399,47.9,8074,14.1,Conservative
Ontario,Lanark--Frontenac--Kingston,35049,Phil Archambault Liberal/Libéral,Liberal,"Inverary, Ont.",Operational Readiness Leader/Chef de la préparation opérationnelle,19325,33.8,,,Conservative
Ontario,Lanark--Frontenac--Kingston,35049,John Fenik NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Perth, Ont.",Municipal Politician/Politicien municipal,8073,14.1,,,Conservative
Ontario,Lanark--Frontenac--Kingston,35049,Anita Payne Green Party/Parti Vert,Green,"Perth, Ont.",Retired Teacher/Enseignante retraitée,2025,3.5,,,Conservative
Ontario,Lanark--Frontenac--Kingston,35049,Mark Budd Libertarian/Libertarien,,"Carleton Place, Ont.",Patent Agent/Agent de brevets,418,.7,,,Conservative
Ontario,Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes,35050,Gord Brown ** Conservative/Conservateur,Conservative,"Gananoque, Ont.",Parliamentarian/Parlementaire,26738,47.4,3850,6.8,Conservative
Ontario,Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes,35050,Mary Jean McFall Liberal/Libéral,Liberal,"Brockville, Ont.",Lawyer/Avocate,22888,40.6,,,Conservative
Ontario,Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes,35050,Margaret Andrade NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Brockville, Ont.",Unemployed/Sans emploi,4722,8.4,,,Conservative
Ontario,Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes,35050,Lorraine A. Rekmans Green Party/Parti Vert,Green,"Osgoode, Ont.",Business Owner/Propriétaire d'entreprise,2088,3.7,,,Conservative
Ontario,London North Centre/London-Centre-Nord,35052,Peter Fragiskatos Liberal/Libéral,Liberal,"London, Ont.","Academic, Media Commentator/Universitaire, commentateur dans les médias",32427,50.5,12437,19.4,Liberal
Ontario,London North Centre/London-Centre-Nord,35052,Susan Truppe ** Conservative/Conservateur,Conservative,"London, Ont.",Parliamentarian/Parlementaire,19990,31.1,,,Liberal
Ontario,London North Centre/London-Centre-Nord,35052,German Gutierrez NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"London, Ont.",Journalist - Professor/Journaliste - Professeur,9423,14.7,,,Liberal
Ontario,London North Centre/London-Centre-Nord,35052,Carol Dyck Green Party/Parti Vert,Green,"London, Ont.",Homemaker/Personne au foyer,2286,3.6,,,Liberal
Ontario,London North Centre/London-Centre-Nord,35052,Marvin Roman Marxist-Leninist/Marxiste-Léniniste,,"Windsor, Ont.",Social Worker/Travailleur social,145,.2,,,Liberal
Ontario,London West/London-Ouest,35053,Kate Young Liberal/Libéral,Liberal,"London, Ont.",Public Affairs Manager/Gestionnaire des affaires publiques,31167,45.8,7131,10.5,Liberal
Ontario,London West/London-Ouest,35053,Ed Holder ** Conservative/Conservateur,Conservative,"London, Ont.",Parliamentarian/Parlementaire,24036,35.3,,,Liberal
Ontario,London West/London-Ouest,35053,Matthew Rowlinson NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"London, Ont.",University Professor/Professeur d'université,10087,14.8,,,Liberal
Ontario,London West/London-Ouest,35053,Dimitri Lascaris Green Party/Parti Vert,Green,"London, Ont.",Lawyer/Avocat,1918,2.8,,,Liberal
Ontario,London West/London-Ouest,35053,Jacques Y. Boudreau Libertarian/Libertarien,,"London, Ont.",Actuary/Actuaire,732,1.1,,,Liberal
Ontario,London West/London-Ouest,35053,Michael Lewis Communist/Communiste,,"London, Ont.",Graphic artist/Graphiste,87,.1,,,Liberal
Ontario,London--Fanshawe,35051,Irene Mathyssen ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Ilderton, Ont.",Parliamentarian/Parlementaire,20684,37.8,3470,6.3,NDP
Ontario,London--Fanshawe,35051,Khalil Ramal Liberal/Libéral,Liberal,"London, Ont.",Vice President Global Financial/Vice-président Global Financial,17214,31.4,,,NDP
Ontario,London--Fanshawe,35051,Suzanna Dieleman Conservative/Conservateur,Conservative,"Aylmer, Ont.",Director of Finance/Directeur des finances,14891,27.2,,,NDP
Ontario,London--Fanshawe,35051,Matthew Peloza Green Party/Parti Vert,Green,"London, Ont.",Accountant/Comptable,1604,2.9,,,NDP
Ontario,London--Fanshawe,35051,Ali Hamadi Independent/Indépendant,,"London, Ont.",Retired/Retraité,352,.6,,,NDP
Ontario,Markham--Stouffville,35054,Jane Philpott Liberal/Libéral,Liberal,"Stouffville, Ont.",Physician/Médecin,29416,49.2,3851,6.4,Liberal
Ontario,Markham--Stouffville,35054,Paul Calandra ** Conservative/Conservateur,Conservative,"Stouffville, Ont.",Parliamentarian/Parlementaire,25565,42.8,,,Liberal
Ontario,Markham--Stouffville,35054,Gregory Hines NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Stouffville, Ont.",Community Worker/Travailleur communautaire,3647,6.1,,,Liberal
Ontario,Markham--Stouffville,35054,Myles O'Brien Green Party/Parti Vert,Green,"Stouffville, Ont.",Municipal Civil Servant-Environmental Coordinator/Fonctionnaire municipal-Coordinnateur environnemen,1145,1.9,,,Liberal
Ontario,Markham--Thornhill,35055,John McCallum ** Liberal/Libéral,Liberal,"Oakville, Ont.",Parliamentarian/Parlementaire,23878,55.7,10029,23.4,Liberal
Ontario,Markham--Thornhill,35055,Jobson Easow Conservative/Conservateur,Conservative,"Markham, Ont.",Self-Employed/Travailleur indépendent,13849,32.3,,,Liberal
Ontario,Markham--Thornhill,35055,Senthi Chelliah NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Markham, Ont.",Publisher/Éditeur,4595,10.7,,,Liberal
Ontario,Markham--Thornhill,35055,Joshua Russell Green Party/Parti Vert,Green,"Markham, Ont.",Rescue Guide/Guide de sauvetage,535,1.2,,,Liberal
Ontario,Markham--Unionville,35056,Bob Saroya Conservative/Conservateur,Conservative,"Richmond Hill, Ont.",Businessman/Homme d'affaires,24605,49.4,3009,6.0,Conservative
Ontario,Markham--Unionville,35056,Bang-Gu Jiang Liberal/Libéral,Liberal,"Markham, Ont.",Barrister/Solicitor/Avocate,21596,43.3,,,Conservative
Ontario,Markham--Unionville,35056,Colleen Zimmerman NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Toronto, Ont.",Student/Étudiante,2528,5.1,,,Conservative
Ontario,Markham--Unionville,35056,Elvin Kao Green Party/Parti Vert,Green,"Markham, Ont.",Data Analyst/Analyste de données,1110,2.2,,,Conservative
Ontario,Milton,35057,Lisa Raitt ** Conservative/Conservateur,Conservative,"Milton, Ont.",Parliamentarian/Parlementaire,22378,45.4,2438,4.9,Conservative
Ontario,Milton,35057,Azim Rizvee Liberal/Libéral,Liberal,"Milton, Ont.",Business Owner/Propriétaire d'entreprise,19940,40.4,,,Conservative
Ontario,Milton,35057,Alex Anabusi NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Milton, Ont.",Labratory technologist/Technologue de laboratoire,5366,10.9,,,Conservative
Ontario,Milton,35057,Mini Batra Green Party/Parti Vert,Green,"Milton, Ont.",Project Manager/Gestionnaire de projet,1131,2.3,,,Conservative
Ontario,Milton,35057,Chris Jewell Libertarian/Libertarien,,"Milton, Ont.",Project Superintendent (Construction)/Gestionnaire de projets de construction,493,1,,,Conservative
Ontario,Mississauga Centre/Mississauga-Centre,35058,Omar Alghabra Liberal/Libéral,Liberal,"Mississauga, Ont.",Engineer/Ingénieur,28372,54.7,10941,21.1,Liberal
Ontario,Mississauga Centre/Mississauga-Centre,35058,Julius Tiangson Conservative/Conservateur,Conservative,"Mississauga, Ont.",Financial Services Advisor/Conseiller en services financiers,17431,33.6,,,Liberal
Ontario,Mississauga Centre/Mississauga-Centre,35058,Farheen Khan NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Mississauga, Ont.",Consultant/Consultante,4920,9.5,,,Liberal
Ontario,Mississauga Centre/Mississauga-Centre,35058,Linh Nguyen Green Party/Parti Vert,Green,"Mississauga, Ont.","Research, Ryerson University/Recherche, Ryerson University",1129,2.2,,,Liberal
Ontario,Mississauga East--Cooksville/Mississauga-Est--Cooksville,35059,Peter Fonseca Liberal/Libéral,Liberal,"Mississauga, Ont.",Business Person/Personne d'affaires,28154,54.2,9801,18.9,Liberal
Ontario,Mississauga East--Cooksville/Mississauga-Est--Cooksville,35059,Wladyslaw Lizon ** Conservative/Conservateur,Conservative,"Mississauga, Ont.",Parliamentarian/Parlementaire,18353,35.4,,,Liberal
Ontario,Mississauga East--Cooksville/Mississauga-Est--Cooksville,35059,Ali Naqvi NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Oakville, Ont.",Business/Affaires,4481,8.6,,,Liberal
Ontario,Mississauga East--Cooksville/Mississauga-Est--Cooksville,35059,Jaymini Bhikha Green Party/Parti Vert,Green,"Ottawa, Ont.",Executive Assistant/Adjointe de direction,766,1.5,,,Liberal
Ontario,Mississauga East--Cooksville/Mississauga-Est--Cooksville,35059,Tim Sullivan Marxist-Leninist/Marxiste-Léniniste,,"Mississauga, Ont.",Truck driver - retired/Camionneur - rétraité,163,.3,,,Liberal
Ontario,Mississauga--Erin Mills,35060,Iqra Khalid Liberal/Libéral,Liberal,"Mississauga, Ont.",Lawyer/Avocate,27520,49.7,5804,10.5,Liberal
Ontario,Mississauga--Erin Mills,35060,Bob Dechert ** Conservative/Conservateur,Conservative,"Mississauga, Ont.",Parliamentarian/Parlementaire,21716,39.2,,,Liberal
Ontario,Mississauga--Erin Mills,35060,Michelle Bilek NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Mississauga, Ont.",For Non-Profit Worker / Poverty Reduction/À but non lucratif / réduction de la pauvreté,5206,9.4,,,Liberal
Ontario,Mississauga--Erin Mills,35060,Andrew Roblin Green Party/Parti Vert,Green,"Mississauga, Ont.",Organizer - Green Party of Canada/Organisateur - Parti vert,905,1.6,,,Liberal
Ontario,Mississauga--Lakeshore,35061,Sven Spengemann Liberal/Libéral,Liberal,"Mississauga, Ont.",Lawyer/Avocat,28279,47.7,3844,6.5,Liberal
Ontario,Mississauga--Lakeshore,35061,Stella Ambler ** Conservative/Conservateur,Conservative,"Mississauga, Ont.",Mother/ Parliamentarian/Mère/ Parlementaire,24435,41.2,,,Liberal
